GeneID,Pseudo_bulk_expression
Pyap00547,1.088187204
Pyap00548,0.08379692579999999
Pyap00549,0.008042426
Pyap00550,0.4164450178
Pyap00551,0.6525607802000001
Pyap00552,0.23092946539999998
Pyap00553,0.7517385928
Pyap00554,0.2046566634
Pyap00555,0.0070691086
Pyap00556,1.9333540229999997
Pyap00557,0.9203678482
Pyap00558,0.8930070108000001
Pyap00559,0.4962186582
Pyap00560,0.21962262500000002
Pyap00561,0.008482698
Pyap00562,0.0006437016
Pyap00563,1.592e-05
Pyap00564,0.0002433724
Pyap00565,0.0
Pyap00566,0.0113346586
Pyap00567,0.0012497016
Pyap00568,0.0062624818
Pyap00569,0.0025747038
Pyap00570,0.0
Pyap00571,0.0
Pyap00572,0.0
Pyap00573,0.7536003804000001
Pyap00574,0.39426767180000005
Pyap00575,0.21584239639999997
Pyap00576,0.3752027674
Pyap00577,0.31646362899999997
Pyap00578,1.1755894
Pyap00579,0.16730965479999999
Pyap00580,0.47412588580000004
Pyap00581,0.791476333
Pyap00582,0.0026666254
Pyap00583,0.0
Pyap00584,0.0006445876
Pyap00585,0.014187512199999999
Pyap00586,5.4862281624
Pyap00587,0.0006097834
Pyap00588,2.014070418
Pyap00589,0.0050948808
Pyap00590,1.3345770954
Pyap00591,1.8543650962
Pyap00592,1.0238125942
Pyap00593,0.22679357620000004
Pyap00594,0.8406971654
Pyap00595,0.1268009202
Pyap00596,0.0016984642
Pyap00597,0.44526550820000005
Pyap00598,0.0022828662
Pyap00599,0.5357541528
Pyap00600,0.49428998960000003
Pyap00601,0.022539142
Pyap00602,0.2940232736
Pyap00603,2.6838222868000003
Pyap00604,1.3735263044
Pyap00605,0.0009501854
Pyap00606,8.50334e-05
Pyap00607,0.8133748136
Pyap00608,1.3787873396
Pyap00609,1.0160090594
Pyap00610,0.00027980180000000004
Pyap00611,0.0052157922
Pyap00612,0.4828924486
Pyap00613,1.76e-05
Pyap00614,0.0052054274
Pyap00615,2.4421691657999998
Pyap00616,0.0045146348
Pyap00617,0.10544862719999999
Pyap00618,0.4244816524
Pyap00619,1.9404391406
Pyap00620,3.6099806035999995
Pyap00621,5.1968399999999995e-05
Pyap00622,0.0
Pyap00623,0.0
Pyap00624,1.2825266679999998
Pyap00625,0.053167743600000004
Pyap00626,0.004986803
Pyap00627,0.7761800532
Pyap00628,0.019292715199999998
Pyap00629,0.304757205
Pyap00630,0.683851472
Pyap00631,0.3719770692
Pyap00632,0.4029391938
Pyap00633,0.5322256463999999
Pyap00634,0.536029093
Pyap00635,0.006309176
Pyap00636,0.0495389668
Pyap00637,1.0961670386
Pyap00638,1.7305548647999998
Pyap00639,0.00761059
Pyap00640,0.0012012907999999999
Pyap00641,0.0
Pyap00642,1.0337407054
Pyap00643,0.9688725234
Pyap00644,1.1982227418
Pyap00645,8.64e-06
Pyap00646,4.07376e-05
Pyap00647,2.0781187808
Pyap00648,0.0107403888
Pyap00649,0.0045381195999999995
Pyap00650,0.014732341399999998
Pyap00651,8.57562e-05
Pyap00652,0.8047824111999999
Pyap00653,0.08757163120000001
Pyap00654,0.036339133800000006
Pyap00655,0.0
Pyap00656,0.294975708
Pyap00657,0.8328175487999999
Pyap00658,0.0
Pyap00659,0.3366437917999999
Pyap00660,0.0270075952
Pyap00661,0.7700049402
Pyap00662,1.3189876774
Pyap00663,0.00033944359999999997
Pyap00664,3.2007756380000005
Pyap00665,0.0045067052
Pyap00666,0.9515153284
Pyap00667,0.0012159648
Pyap00668,0.847003741
Pyap00669,1.7798766933999999
Pyap00670,0.341595696
Pyap00671,0.0489668754
Pyap00672,0.4528469158
Pyap00673,0.2390251642
Pyap00674,1.2027280888
Pyap00675,0.0326233764
Pyap00676,0.27904841140000003
Pyap00677,0.0002324224
Pyap00678,0.0005007932
Pyap00679,0.0117004836
Pyap00680,5.324240000000001e-05
Pyap00681,0.0
